L3_geo_id,codeword_address
11_141_1535,[futuhatu]
11_145_1623,[--sriwi, area(google]
12_150_1716,[oyem]
12_161_2038,[--tukangen]
12_164_2145,[linggamulya, eyet]
12_166_2195,[cikabuyutan]
14_181_2332,[parungkamal]
14_184_2381,[trayu]
14_184_2389,[081246944944, wea, --lamparcilik]
14_184_2391,[potronayan]
14_184_2395,[syahadah, darusy]
14_186_2430,[kalisabuk]
14_186_2431,[mergawati]
14_188_2455,[nari, pulokulon]
14_188_2463,[pulokulon]
14_188_2466,[nari, tukang--, nanggungan]
14_190_2493,[mojodipo]
14_190_2497,[kopaan, nangsri]
14_190_2503,[nurlativah]
14_191_2517,[kepedek]
14_193_2557,[jimbung]
14_193_2558,[tarubasan]
14_193_2567,[solodiran]
14_193_2569,[troketon]
14_195_2585,[trasan]
14_195_2604,[sadegan]
14_199_2661,[owabong]
14_199_2670,[pelumutan]
14_199_2677,[wanogara]
14_200_2685,[patutrejo]
14_203_2735,[gilirejo]
14_204_2757,[majasto]
14_204_2758,[jatingarang]
14_205_2761,[(leles)]
14_207_2800,[tempurharjo]
14_207_2805,[--aryodurenlor]
14_207_2816,[kaliancar]
14_208_2826,[smanu]
14_208_2828,[surengede]
14_208_2830,[kalibeber]
15_216_2903,[namun]
15_223_3083,[susuhbango]
15_225_3116,[rojopolo]
15_231_3256,[--fadhil]
15_233_3274,[asampitu]
15_233_3281,[ronggosukowati]
15_234_3289,[sladi]
15_236_3344,[(085233087416)--]
15_239_3388,[nyamplong, sumberanyar]
16_253_3544,[mulyodadi]
16_254_3563,[bejiharjo]
16_254_3565,[katongan]
16_254_3567,[girisekar]
16_254_3574,[pacarejo]
16_254_3577,[giripanggung]
16_255_3583,[gulurejo]
16_255_3588,[tuksono, salamrejo]
16_256_3606,[merdikorejo]
16_257_3613,[wolusiji]
17_262_6574,[baguz]
1_19_234,[lhong]
1_20_8241,[bujok]
22_330_4354,[kuayan]
25_362_4627,[ciniayo]
32_437_5376,[senikersku--]
34_470_5593,[lingkas]
6_96_1067,[siteba]
8_119_1309,[13polos]
8_126_1413,[waykandis]
8_127_1421,[waskitho]
